Temperature,Pressure,VibrationX,VibrationY,VibrationZ,Frequency,flag_high_values,Temperature_RollMean_10,Temperature_RollStd_10,Temperature_RollMean_30,Temperature_RollStd_30,Pressure_RollMean_3,Pressure_RollStd_3,Pressure_RollMean_7,Pressure_RollStd_7,Frequency_RollMean_5,Frequency_RollStd_5,Pressure_Slope_3,Pressure_Slope_5,Temperature_Slope_10,Temperature_Lag1,Temperature_Lag2,Temperature_Lag3,Pressure_Lag1,Pressure_Lag2,Pressure_Lag3,Pressure_Lag4,Pressure_Lag5,VibrationX_Lag1,VibrationX_Lag2,VibrationX_Lag3,VibrationX_Lag4,VibrationX_Lag5,VibrationX_Lag6,VibrationX_Lag7,VibrationX_Lag8,VibrationY_Lag1,VibrationY_Lag2,VibrationY_Lag3,VibrationY_Lag4,VibrationY_Lag5,VibrationY_Lag6,VibrationY_Lag7,VibrationY_Lag8,VibrationZ_Lag1,VibrationZ_Lag2,VibrationZ_Lag3,VibrationZ_Lag4,VibrationZ_Lag5,VibrationZ_Lag6,VibrationZ_Lag7,VibrationZ_Lag8,Frequency_Lag1,Frequency_Lag2,Frequency_Lag3,Frequency_Lag4,Frequency_Lag5,Frequency_Lag6,Frequency_Lag7,Frequency_Lag8,Target_Lag1,Target_Lag2,Target_Lag3,Target_Lag4,Target_Lag5,Target_Lag6,Target_Lag7,Target_Lag8,Target_Lag9,Target_Lag10,Preset_1_2,Preset_1_3,Preset_2_2,Preset_2_3,Preset_2_4,Preset_2_5,Preset_2_6,Preset_2_7,Preset_2_8
60.7589,58.3423,49.6561,39.915,48.5307,74.0838,0,64.75004,19.941080137812587,63.088633333333334,17.452201655543206,68.73146666666665,23.137559808746275,62.77092857142858,21.070146152294114,66.6227,21.839598967014087,2.8348000000000013,5.617779999999999,2.61802,70.2697,52.6206,35.5071,93.9897,63.6431,48.5616,85.4853,42.4434,85.0051,63.8806,49.6322,62.0979,49.6954,74.2724,52.2308,40.2759,110.0092,79.212,65.0332,88.083,45.0941,122.7686,124.6002,105.1138,94.545,74.3051,60.5258,62.179,50.9091,85.1995,59.6127,48.6427,78.3834,57.9017,43.5004,98.541,54.787,29.9112,30.4817,19.1535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,False,False
79.1799,100.8601,72.4547,58.4504,69.3379,95.1204,0,64.80986,19.926675214964078,61.57793000000001,15.449031047445304,71.99169999999998,19.234308491858453,65.48088571428572,18.63880472897202,70.48206,20.910423554007767,3.260233333333334,3.179780000000001,0.05981999999999985,60.7589,70.2697,52.6206,58.3423,93.9897,63.6431,48.5616,85.4853,49.6561,85.0051,63.8806,49.6322,62.0979,49.6954,74.2724,52.2308,39.915,110.0092,79.212,65.0332,88.083,45.0941,122.7686,124.6002,48.5307,94.545,74.3051,60.5258,62.179,50.9091,85.1995,59.6127,74.0838,78.3834,57.9017,43.5004,98.541,54.787,29.9112,30.4817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,False,False,False
54.3063,75.0292,61.0684,75.8279,59.3203,103.079,0,65.69599,20.39049624906709,61.731919999999995,15.605130538701975,84.39736666666666,22.824339493034923,70.47507142857144,22.954119053647805,69.79794000000001,19.788802616581,12.405666666666669,3.0749600000000017,0.88613,79.1799,60.7589,70.2697,100.8601,58.3423,93.9897,63.6431,48.5616,72.4547,49.6561,85.0051,63.8806,49.6322,62.0979,49.6954,74.2724,58.4504,39.915,110.0092,79.212,65.0332,88.083,45.0941,122.7686,69.3379,48.5307,94.545,74.3051,60.5258,62.179,50.9091,85.1995,95.1204,74.0838,78.3834,57.9017,43.5004,98.541,54.787,29.9112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,True,False,False
49.2429,74.5377,45.3719,38.923,43.7584,59.6015,0,66.56148999999999,19.614041382384343,61.869609999999994,15.517626706123076,78.07719999999999,21.422151087367002,75.13018571428573,19.341769783073612,81.71366,17.83629211097427,-6.320166666666665,5.293520000000001,0.8655000000000002,54.3063,79.1799,60.7589,75.0292,100.8601,58.3423,93.9897,63.6431,61.0684,72.4547,49.6561,85.0051,63.8806,49.6322,62.0979,49.6954,75.8279,58.4504,39.915,110.0092,79.212,65.0332,88.083,45.0941,59.3203,69.3379,48.5307,94.545,74.3051,60.5258,62.179,50.9091,103.079,95.1204,74.0838,78.3834,57.9017,43.5004,98.541,54.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False
72.0936,133.9714,103.4331,61.5814,103.7789,19.5354,0,64.86169000000001,20.367002603309583,61.14459666666667,15.584616835454039,83.47566666666665,15.05736646307426,73.56624285714285,18.799936066722342,82.05362,17.276382592198026,5.398466666666667,2.1789200000000006,-1.6997999999999998,49.2429,54.3063,79.1799,74.5377,75.0292,100.8601,58.3423,93.9897,45.3719,61.0684,72.4547,49.6561,85.0051,63.8806,49.6322,62.0979,38.923,75.8279,58.4504,39.915,110.0092,79.212,65.0332,88.083,43.7584,59.3203,69.3379,48.5307,94.545,74.3051,60.5258,62.179,59.6015,103.079,95.1204,74.0838,78.3834,57.9017,43.5004,98.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,False,False,False
67.5904,54.4058,45.9333,55.9059,53.3331,15.301,0,61.10869,13.503723769509662,61.91828,15.530955708994748,94.51276666666665,34.173062512208574,85.76764285714286,26.147202807684515,70.28402,33.152426299624025,11.037099999999995,7.996339999999998,-3.753,72.0936,49.2429,54.3063,133.9714,74.5377,75.0292,100.8601,58.3423,103.4331,45.3719,61.0684,72.4547,49.6561,85.0051,63.8806,49.6322,61.5814,38.923,75.8279,58.4504,39.915,110.0092,79.212,65.0332,103.7789,43.7584,59.3203,69.3379,48.5307,94.545,74.3051,60.5258,19.5354,59.6015,103.079,95.1204,74.0838,78.3834,57.9017,43.5004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False,True
114.1359,85.9825,71.6355,85.9516,78.4226,28.4072,0,61.66214,13.65937728165763,62.02531333333334,15.55953984052162,87.63829999999997,41.368955342260946,84.44802857142858,27.64036120637792,58.52746,40.96933036831335,-6.874466666666668,-0.7873000000000004,0.5534500000000001,67.5904,72.0936,49.2429,54.4058,133.9714,74.5377,75.0292,100.8601,45.9333,103.4331,45.3719,61.0684,72.4547,49.6561,85.0051,63.8806,55.9059,61.5814,38.923,75.8279,58.4504,39.915,110.0092,79.212,53.3331,103.7789,43.7584,59.3203,69.3379,48.5307,94.545,74.3051,15.301,19.5354,59.6015,103.079,95.1204,74.0838,78.3834,57.9017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,True,False,False,False,False
54.4163,41.5594,49.9346,66.944,85.6557,41.3876,0,65.57052999999999,21.345463487071108,63.415910000000004,18.166254861718993,91.4532333333333,40.063922277322206,83.30414285714288,27.34376587370847,45.184819999999995,36.71512194276361,3.8149333333333337,-2.9755200000000004,3.90839,114.1359,67.5904,72.0936,85.9825,54.4058,133.9714,74.5377,75.0292,71.6355,45.9333,103.4331,45.3719,61.0684,72.4547,49.6561,85.0051,85.9516,55.9059,61.5814,38.923,75.8279,58.4504,39.915,110.0092,78.4226,53.3331,103.7789,43.7584,59.3203,69.3379,48.5307,94.545,28.4072,15.301,19.5354,59.6015,103.079,95.1204,74.0838,78.3834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False,False
99.505,58.9496,69.502,85.262,105.34,60.0701,0,67.46145,19.106457728460313,64.01355,17.533700182274547,60.649233333333314,22.86019024949948,80.90658571428573,30.455927689445854,32.84654,17.98275390583995,-30.804,-6.6939600000000015,1.89092,54.4163,114.1359,67.5904,41.5594,85.9825,54.4058,133.9714,74.5377,49.9346,71.6355,45.9333,103.4331,45.3719,61.0684,72.4547,49.6561,66.944,85.9516,55.9059,61.5814,38.923,75.8279,58.4504,39.915,85.6557,78.4226,53.3331,103.7789,43.7584,59.3203,69.3379,48.5307,41.3876,28.4072,15.301,19.5354,59.6015,103.079,95.1204,74.0838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,True,False,False,False
166.3615,74.6734,79.646,40.8883,44.4261,62.718,0,72.14989,20.742425964162745,65.39903,18.64427829108099,62.163833333333315,22.385294846021377,74.91937142857144,29.99561227228139,32.94026,18.15742389101499,1.514599999999999,-3.117620000000001,4.688439999999999,99.505,54.4163,114.1359,58.9496,41.5594,85.9825,54.4058,133.9714,69.502,49.9346,71.6355,45.9333,103.4331,45.3719,61.0684,72.4547,85.262,66.944,85.9516,55.9059,61.5814,38.923,75.8279,58.4504,105.34,85.6557,78.4226,53.3331,103.7789,43.7584,59.3203,69.3379,60.0701,41.3876,28.4072,15.301,19.5354,59.6015,103.079,95.1204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,True,False
